y,d,dx_star,dz_star,Kxx,Kxz,Kzx,Kzz
0,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
25,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
50,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
75,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
100,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
125,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
150,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
175,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
200,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
225,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
250,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
275,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
300,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
325,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
350,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
375,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
400,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
425,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
450,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
475,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
500,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
525,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
550,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
575,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
600,80.0,0.9507089112420138,0.18969601809500064,2060.1930746749044,102.04973613208858,102.04973613208858,10625.541704689984
